publish_date,neg,neu,pos,compound,sentiment
2002-04-09,0.136,0.774,0.09,-0.9985,negative
2002-04-10,0.132,0.794,0.075,-0.9987,negative
2002-04-11,0.15,0.76,0.09,-0.9996,negative
2002-04-12,0.132,0.787,0.082,-0.9979,negative
2002-04-13,0.111,0.82,0.069,-0.9922,negative
2002-04-14,0.136,0.785,0.079,-0.9984,negative
2002-04-15,0.08,0.823,0.097,0.9729,positive
2002-04-16,0.111,0.818,0.071,-0.9956,negative
2002-04-17,0.15,0.765,0.086,-0.9993,negative
2002-04-18,0.105,0.821,0.073,-0.9951,negative
2002-04-19,0.157,0.764,0.079,-0.9994,negative
2002-04-20,0.108,0.812,0.08,-0.9941,negative
2002-04-21,0.076,0.872,0.051,-0.9813,negative
2002-04-22,0.102,0.804,0.095,-0.8352,negative
2002-04-23,0.15,0.779,0.071,-0.9994,negative
2002-04-24,0.124,0.791,0.084,-0.9982,negative
2002-04-25,0.154,0.79,0.056,-0.9994,negative
2002-04-26,0.09,0.839,0.071,-0.9904,negative
2002-04-27,0.117,0.789,0.094,-0.9855,negative
2002-04-28,0.165,0.761,0.074,-0.9995,negative
2002-04-29,0.085,0.848,0.068,-0.9878,negative
2002-04-30,0.12,0.801,0.08,-0.9969,negative
2002-05-01,0.093,0.829,0.079,-0.9698,negative
2002-05-02,0.08,0.853,0.067,-0.9617,negative
2002-05-03,0.08,0.819,0.101,0.9714,positive
2002-05-04,0.091,0.836,0.073,-0.9868,negative
2002-05-05,0.11,0.803,0.087,-0.9929,negative
2002-05-06,0.111,0.803,0.085,-0.9952,negative
2002-05-07,0.146,0.769,0.085,-0.9993,negative
2002-05-08,0.097,0.845,0.058,-0.9961,negative
2002-05-09,0.128,0.805,0.067,-0.9989,negative
2002-05-10,0.146,0.771,0.083,-0.9989,negative
2002-05-11,0.105,0.787,0.109,-0.8702,negative
2002-05-12,0.098,0.821,0.082,-0.9845,negative
2002-05-13,0.077,0.864,0.059,-0.9699,negative
2002-05-14,0.147,0.775,0.078,-0.9988,negative
2002-05-15,0.12,0.797,0.083,-0.997,negative
2002-05-16,0.111,0.797,0.092,-0.9888,negative
2002-05-17,0.103,0.818,0.079,-0.9924,negative
2002-05-18,0.112,0.807,0.08,-0.9927,negative
2002-05-19,0.123,0.798,0.079,-0.9974,negative
2002-05-20,0.111,0.782,0.106,-0.9136,negative
2002-05-21,0.152,0.749,0.099,-0.9992,negative
2002-05-22,0.155,0.747,0.098,-0.9992,negative
2002-05-23,0.102,0.843,0.055,-0.9969,negative
2002-05-24,0.137,0.775,0.088,-0.9985,negative
